TE	Name	sense	antisense	total	RNAseq	div	copies	length
rnd-5_family-617#LINE/L1	rnd-6_family-678#Unknown	0	9	9	0	27.722	795	231.118
rnd-6_family-4145#LINE/L1	Tigger19b	9	0	9	0	23.601	2403	129.607
rnd-6_family-4768#Unknown	rnd-5_family-528#Unknown	9	0	9	0	23.841	298	142.111
rnd-6_family-678#Unknown	B4	0	9	9	0	18.794	315	71.787
rnd-1_family-120#LINE/L1	L1MC1	2	6	8	806.79	16.66	1315	300.102
rnd-1_family-139#Unknown	B4A	0	8	8	223.31	12.24	247	86.591
rnd-1_family-145#Unknown	rnd-6_family-3032#Unknown	0	8	8	90.04	17.177	335	123.293
rnd-1_family-169#LTR/ERVL-MaLR	rnd-5_family-154#Unknown	3	6	8	266.53	23.499	1477	322.106
rnd-4_family-122#Unknown	ORR1D1-int	8	0	8	82.84	17.597	884	149.601
rnd-5_family-154#Unknown	B4	0	8	8	0	24.37	479	226.01
rnd-5_family-2130#LINE/L1	rnd-6_family-2406#Unknown	0	8	8	0	28.2	1299	284.514
rnd-5_family-59#Unknown	L3	2	6	8	0	23.194	3780	246.636
rnd-6_family-1135#Unknown	rnd-4_family-122#Unknown	2	6	8	0	26.75	1394	213.745
rnd-6_family-2406#Unknown	MTD	0	8	8	0	21.852	486	195.111
rnd-6_family-3032#Unknown	L1MEg	2	6	8	0	24.484	220	161.764
rnd-6_family-8237#Unknown	rnd-6_family-8237#Unknown	8	0	8	190.89	16.459	63	279.079
rnd-6_family-858#Unknown	MTD	1	6	8	0	19.35	795	359.433
rnd-1_family-291#Unknown	rnd-6_family-2148#LINE/L1	0	7	7	7.2	16.564	87	79.437
rnd-3_family-374#Unknown	rnd-6_family-1092#Unknown	7	0	7	75.64	16.007	2921	254.952
rnd-4_family-16#Unknown	rnd-5_family-548#Unknown	0	7	7	39.62	22.864	29922	330.083
rnd-5_family-548#Unknown	rnd-6_family-1750#Unknown	7	0	7	0	24.044	842	245.487
rnd-6_family-1092#Unknown	Lx9	0	7	7	0	24.739	753	280.417
rnd-6_family-1750#Unknown	MTD	1	6	7	3.6	23.894	843	191.93
rnd-6_family-1937#Unknown	Lx7	7	0	7	932.85	16.653	70	178.714
rnd-6_family-2148#LINE/L1	Charlie24	2	5	7	0	27.526	91	155.835
rnd-6_family-4440#Unknown	RodERV21-int	1	6	7	18.01	14.962	367	608.956
rnd-1_family-111#Unknown	rnd-5_family-524#Unknown	0	6	6	482.63	16.279	253	80.668
rnd-1_family-135#Unknown	B4	0	6	6	43.22	16.379	19	86.737
rnd-1_family-144#Unknown	rnd-6_family-8648#Unknown	0	6	6	93.65	19.761	272	112.559
rnd-1_family-200#Unknown	ORR1E	4	1	6	64.83	13.894	109	100.073
rnd-1_family-253#Unknown	PB1D11	6	0	6	122.46	15.597	1068	114.679
rnd-1_family-333#Unknown	B4A	0	6	6	28.81	4.872	58	80.017
rnd-1_family-69#Unknown	L1PB4	0	6	6	82.84	23.065	448	131.132
rnd-1_family-89#Unknown	Lx9	6	0	6	129.66	15.727	33	70.909
rnd-4_family-230#Unknown	ORR1E	1	5	6	136.87	23.233	2922	134.725
rnd-4_family-965#Unknown	rnd-5_family-1606#Unknown	6	0	6	3.6	20.962	2117	217.331
rnd-5_family-1252#Unknown	B4A	6	0	6	61.23	9.924	448	112.478
rnd-5_family-1308#Unknown	rnd-6_family-426#Unknown	0	6	6	403.39	15.315	1113	159.751
rnd-5_family-1606#Unknown	ORR1D1	5	1	6	0	17.199	229	285.581
rnd-5_family-524#Unknown	ORR1D1	0	6	6	0	26.334	1371	229.542
rnd-5_family-902#Unknown	Lx6	6	0	6	0	26.295	236	91.309
rnd-6_family-1301#Unknown	X6B_LINE	6	0	6	0	25.177	1175	111.901
rnd-6_family-233#Unknown	MLT1B	0	6	6	0	18.947	468	285.421
rnd-6_family-426#Unknown	ORR1D1	1	5	6	43.22	16.328	897	162.399
rnd-6_family-8648#Unknown	B4	6	0	6	0	25.25	540	220.244
rnd-1_family-312#Unknown	L1ME1	5	0	5	14.41	24.05	2	103
rnd-1_family-324#Unknown	LTR50	0	5	5	151.27	10.125	672	58.461
rnd-4_family-1305#Unknown	rnd-6_family-283#Unknown	3	2	5	3.6	26.094	799	450.673
rnd-4_family-1723#Unknown	rnd-5_family-520#Unknown	0	4	5	1354.25	14.458	5765	194.067
rnd-5_family-2045#Unknown	rnd-6_family-4047#Unknown	0	5	5	0	26.257	966	166.776
rnd-5_family-520#Unknown	rnd-1_family-312#Unknown	5	0	5	93.65	24.317	1357	230.934
rnd-5_family-547#Unknown	rnd-6_family-2520#Unknown	0	5	5	0	21.862	405	221.768
rnd-6_family-11811#LTR/ERVK	B4A	0	5	5	0	21.406	155	324.723
rnd-6_family-17103#Unknown	rnd-5_family-547#Unknown	2	3	5	93.65	23.117	1961	150.325
rnd-6_family-1889#Unknown	rnd-6_family-11811#LTR/ERVK	5	0	5	3.6	13.522	151	388.51
rnd-6_family-2520#Unknown	Lx8b	0	5	5	0	23.443	218	253.752
rnd-6_family-283#Unknown	Charlie1a	5	0	5	0	25.512	942	113.285
rnd-6_family-4047#Unknown	MLT1J	5	0	5	0	24.194	344	292.913
rnd-6_family-428#Unknown	ORR1D1	1	4	5	1883.71	20.465	1175	125.313
rnd-1_family-148#Unknown	rnd-6_family-3706#Unknown	0	4	4	79.24	19.685	293	107.874
rnd-1_family-174#Unknown	rnd-5_family-1013#Unknown	0	4	4	3.6	20.012	232	150.522
rnd-1_family-256#Unknown	rnd-5_family-489#Unknown	0	4	4	3817.84	11.769	1618	261.998
rnd-1_family-308#Unknown	rnd-5_family-730#Unknown	4	0	4	16236.62	11.756	34	95.382
rnd-1_family-323#Unknown	rnd-6_family-4870#Unknown	4	0	4	0	18.648	25	86.68
rnd-1_family-330#Unknown	rnd-4_family-1217#Unknown	0	4	4	0	16.7	1	53
rnd-1_family-342#Unknown	rnd-6_family-1525#Unknown	2	2	4	6238.2	14.714	22	51.5
rnd-3_family-275#Unknown	rnd-6_family-419#Unknown	3	1	4	46.82	22.299	3968	351.629
rnd-4_family-1217#Unknown	Tigger19b	4	0	4	0	25.181	2777	301.668
rnd-5_family-1013#Unknown	Lx8	0	4	4	0	25.893	869	107.931
rnd-5_family-1116#Unknown	rnd-6_family-1050#Unknown	4	0	4	7.2	22.255	1606	162.674
rnd-5_family-236#Unknown	Lx9	4	0	4	10.81	19.162	1107	313.515
rnd-5_family-2#Unknown	Lx7	1	3	4	21.61	18.093	559	187.107
rnd-5_family-489#Unknown	PB1D10	4	0	4	0	25.827	304	167.013
rnd-5_family-5475#Unknown	Lx9	4	0	4	2459.98	14.983	796	77.666
rnd-5_family-730#Unknown	MER57D	4	0	4	0	25.6	2505	177.765
rnd-6_family-1050#Unknown	rnd-6_family-2853#Unknown	0	4	4	3.6	21.327	103	194.33
rnd-6_family-10699#Unknown	rnd-1_family-323#Unknown	1	3	4	223.31	17.966	114	448.868
rnd-6_family-1203#Unknown	L1M3	0	4	4	0	20.53	112	109.098
rnd-6_family-1525#Unknown	rnd-6_family-10699#Unknown	4	0	4	0	24.942	180	257.239
rnd-6_family-2853#Unknown	rnd-1_family-330#Unknown	1	3	4	3.6	18.868	426	206.608
rnd-6_family-3706#Unknown	U6	0	4	4	0	26.581	204	115.52
rnd-6_family-419#Unknown	MTD-int	4	0	4	0	24.77	191	229.455
rnd-6_family-4759#Unknown	Charlie1a	0	4	4	7.2	20.007	340	83.956
rnd-6_family-4870#Unknown	Eutr10	4	0	4	0	25.394	366	207.473
rnd-6_family-7651#Unknown	LX3	0	4	4	673.52	14.164	1641	162.002
rnd-1_family-100#Unknown	B4A	0	3	3	36.02	20.086	71	91.535
rnd-1_family-113#Unknown	rnd-6_family-2521#Unknown	2	1	3	277.33	16.237	664	407.434
rnd-1_family-117#LINE/L1	rnd-4_family-75#Unknown	2	1	3	3371.22	11.88	1473	487.598
rnd-1_family-142#Unknown	B4	3	0	3	479.03	10.245	92	60.152
rnd-1_family-156#LINE/L1	B4	1	2	3	306.15	15.336	204	110.642
rnd-1_family-47#Unknown	rnd-6_family-3148#Unknown	1	2	3	1289.42	23.107	13079	146.598
rnd-4_family-212#Unknown	rnd-4_family-212#Unknown	3	0	3	302.55	22.545	10328	186.61
rnd-4_family-479#Unknown	B4A	3	0	3	3.6	18.982	1546	1276.257
rnd-4_family-75#Unknown	hAT-5_Mam	0	3	3	0	24.551	2086	171.812
rnd-5_family-1190#Simple_repeat	Lx8	2	1	3	7650.08			
rnd-5_family-191#Unknown	rnd-5_family-191#Unknown	3	0	3	356.57	17.21	3218	158.407
rnd-5_family-2409#Unknown	L1MEg	3	0	3	0	12.964	660	102.542
rnd-5_family-25#Unknown	L1M1	0	3	3	10.81	25.926	3620	218.995
rnd-6_family-2521#Unknown	MamRTE1	0	3	3	0	24.887	95	231.316
rnd-6_family-2997#Unknown	MTD	0	3	3	43.22	12.346	491	184.022
rnd-6_family-3148#Unknown	L1MEg	3	0	3	0	22.925	356	227.169
rnd-6_family-3789#Unknown	PB1D9	0	3	3	3.6	11.517	195	249.251
rnd-6_family-39#Unknown	L1MA5	0	3	3	0	18.149	500	82.426
rnd-6_family-458#Unknown	rnd-5_family-1190#Simple_repeat	3	0	3	3.6	23.533	1328	135.566
rnd-1_family-109#Unknown	rnd-4_family-142#Unknown	0	2	2	46.82	14.44	45	116.267
rnd-1_family-112#Unknown	L1MEc	0	2	2	3.6			
rnd-1_family-136#LINE/L1	rnd-6_family-2577#Unknown	2	0	2	673.52	15.61	154	233.506
rnd-1_family-162#Unknown	rnd-5_family-768#Unknown	2	0	2	212.5	13.646	308	103.63
rnd-1_family-168#Unknown	B4A	0	2	2	547.46			
rnd-1_family-262#Unknown	B4	2	0	2	25.21	6.7	1	103
rnd-1_family-298#Unknown	rnd-6_family-1333#Unknown	0	2	2	154.87	12.969	1042	245.658
rnd-1_family-351#Unknown	MER33	0	2	2	43.22	8.651	442	53.233
rnd-1_family-87#Unknown	rnd-6_family-40#Unknown	0	2	2	237.71	13.568	691	122.842
rnd-1_family-92#Unknown	tRNA-Ala-GCY_	0	2	2	947.26	12.436	366	93.505
rnd-3_family-233#Unknown	rnd-6_family-6277#Unknown	0	2	2	0	24.534	4515	85.934
rnd-4_family-142#Unknown	rnd-5_family-5270#Unknown	2	0	2	0	29.401	1792	210.668
rnd-5_family-5270#Unknown	rnd-6_family-512#Unknown	0	2	2	0	20.856	332	307.084
rnd-5_family-768#Unknown	Lx8	0	2	2	0	26.172	792	162.462
rnd-6_family-1333#Unknown	L1MEg	0	2	2	0	23.933	415	198.325
rnd-6_family-1377#Unknown	ORR1D1	2	0	2	0	22.971	448	159.161
rnd-6_family-14117#Unknown	X6B_LINE	1	1	2	187.29	15.558	224	448.009
rnd-6_family-2577#Unknown	L1M3	0	2	2	0	26.348	232	183.457
rnd-6_family-2741#Unknown	ORR1D1	0	1	2	0	25.352	797	163.035
rnd-6_family-319#Unknown	ORR1D1	2	0	2	43.22	21.591	673	82.743
rnd-6_family-4045#Unknown	ORR1D1	0	2	2	18.01	17.837	202	197.515
rnd-6_family-40#Unknown	ORR1D1	0	2	2	0	22.255	1246	154.476
rnd-6_family-512#Unknown	rnd-1_family-351#Unknown	2	0	2	0	19.322	82	60.695
rnd-6_family-6277#Unknown	rnd-1_family-262#Unknown	1	1	2	0	21.166	644	220.988
rnd-6_family-6788#Unknown	MTEa	2	1	2	0	27.126	849	216.423
rnd-6_family-6866#Simple_repeat	rnd-6_family-6866#Simple_repeat	1	1	2	410.6			
rnd-6_family-922#Unknown	ORR1D1	0	2	2	39.62	13.539	170	325.147
rnd-1_family-116#Unknown	rnd-6_family-1488#Unknown	1	0	1	0	18.872	262	102.844
rnd-1_family-163#Unknown	rnd-5_family-829#Unknown	1	0	1	0	18.332	37	70.351
rnd-1_family-181#Unknown	rnd-6_family-3928#Unknown	0	1	1	21.61			
rnd-1_family-186#Unknown	rnd-6_family-4384#Unknown	1	0	1	0			
rnd-1_family-189#Unknown	rnd-6_family-6995#Unknown	1	0	1	7333.13	13.833	2225	186.386
rnd-1_family-277#Unknown	rnd-6_family-17#Unknown	1	0	1	0	22.417	6	90.333
rnd-1_family-300#Unknown	L1MB3	1	0	1	75.64	9.174	27	55.704
rnd-1_family-310#Unknown	L1MA6	1	0	1	3212.75	8.253	58	81.534
rnd-1_family-55#Unknown	rnd-6_family-10315#Unknown	1	0	1	158.48	14.096	1010	148.826
rnd-3_family-13#Simple_repeat	rnd-6_family-544#Unknown	0	0	1	3061.47			
rnd-4_family-409#Unknown	rnd-5_family-687#Unknown	0	1	1	0	24.228	3337	120.079
rnd-4_family-88#Unknown	Lx9	1	0	1	0	24.116	387	150.473
rnd-5_family-141#Unknown	MIRb	0	1	1	118.86	19.302	1570	212.883
rnd-5_family-164#Unknown	rnd-5_family-397#Unknown	0	1	1	0	25.837	2531	174.179
rnd-5_family-1834#Unknown	MLT1A0	0	1	1	36.02	18.252	723	226.203
rnd-5_family-28#Unknown	rnd-4_family-88#Unknown	1	0	1	0	21.097	359	215.067
rnd-5_family-29#Unknown	rnd-5_family-307#Unknown	1	0	1	0	23.69	573	156.871
rnd-5_family-307#Unknown	L1MA6	1	0	1	0	24.007	802	99.193
rnd-5_family-347#Unknown	rnd-6_family-174#Unknown	1	0	1	0	24.884	3029	88.936
rnd-5_family-3679#Unknown	L1M2	1	0	1	68.43	12.198	354	119.367
rnd-5_family-397#Unknown	rnd-1_family-277#Unknown	1	0	1	3.6	24.701	3939	116.021
rnd-5_family-687#Unknown	rnd-6_family-920#Unknown	1	0	1	0	25.406	1045	196.463
rnd-5_family-829#Unknown	rnd-6_family-3507#Unknown	0	1	1	0	27.66	367	131.232
rnd-5_family-972#Unknown	rnd-6_family-3208#Unknown	1	0	1	21.61	25.203	2480	213.112
rnd-6_family-10315#Unknown	rnd-6_family-897#Unknown	1	0	1	3.6	25.694	339	191.847
rnd-6_family-1330#Unknown	rnd-5_family-28#Unknown	1	0	1	7.2	18.532	277	288.025
rnd-6_family-1488#Unknown	rnd-6_family-1508#Unknown	1	0	1	0	28.533	670	172.355
rnd-6_family-1508#Unknown	rnd-5_family-141#Unknown	1	0	1	0	19.955	196	59.867
rnd-6_family-174#Unknown	B4	0	1	1	0	23.589	566	199.519
rnd-6_family-17#Unknown	Lx6	1	0	1	0	26.426	317	220.965
rnd-6_family-1846#LINE/L1	PB1D9	1	0	1	129.66	22.437	745	286.878
rnd-6_family-2094#Unknown	MTE2b	1	0	1	0	26.344	930	204.232
rnd-6_family-2098#Unknown	PB1D7	0	1	1	0	16.81	140	234.921
rnd-6_family-282#Unknown	LFSINE_Vert	0	1	1	151.27	12.446	593	97.052
rnd-6_family-3208#Unknown	rnd-6_family-2098#Unknown	1	0	1	0	21.695	168	177.679
rnd-6_family-3507#Unknown	LX3	0	1	1	0	21.809	1368	306.801
rnd-6_family-3928#Unknown	UCON105	1	0	1	0	27.441	449	195.728
rnd-6_family-4384#Unknown	rnd-6_family-282#Unknown	1	0	1	0	27.043	202	172.109
rnd-6_family-5249#Unknown	X6B_LINE	1	0	1	0	7.784	43	32.465
rnd-6_family-544#Unknown	ORR1E	1	0	1	0	25.529	200	225.345
rnd-6_family-6191#Unknown	rnd-1_family-310#Unknown	1	0	1	651.91	18.917	116	269.578
rnd-6_family-6995#Unknown	rnd-6_family-5249#Unknown	0	1	1	360.17	26.53	238	265.513
rnd-6_family-7066#Unknown	rnd-3_family-13#Simple_repeat	1	0	1	6288.63	18.066	1495	88.448
rnd-6_family-897#Unknown	ORR1D1	1	0	1	7.2	21.515	810	239.359
rnd-6_family-920#Unknown	rnd-1_family-186#Unknown	0	1	1	0	21.991	289	103.038
rnd-1_family-137#Unknown	rnd-4_family-568#Unknown	0	0	0	0	14.2	5	56.8
rnd-1_family-141#Unknown	L1MC	0	0	0	90.04	14.067	9	116.333
rnd-1_family-147#Unknown	rnd-6_family-2573#Unknown	0	0	0	0	13.5	1	52
rnd-1_family-224#Unknown	B4	0	0	0	244.92	16.956	2275	204.724
rnd-1_family-273#Unknown	rnd-6_family-7895#Unknown	0	0	0	68.43	15.733	3	95.333
rnd-4_family-418#Unknown	rnd-4_family-546#Unknown	0	0	0	3.6	19.544	1641	80.149
rnd-4_family-546#Unknown	Lx10	0	0	0	7.2	23.502	1752	241.382
rnd-4_family-568#Unknown	L1MB5	0	0	0	0	27.289	3215	192.208
rnd-5_family-159#Unknown	Lx8	0	0	0	3.6	13.585	511	225.337
rnd-5_family-2361#Unknown	rnd-4_family-418#Unknown	0	0	0	32.42	5.606	464	358.198
rnd-5_family-572#Unknown	LTR82A	0	0	0	10.81	25.137	21488	157.607
rnd-6_family-1112#Unknown	rnd-6_family-4855#Unknown	0	0	0	14.41	20.951	407	67.894
rnd-6_family-12214#Unknown	rnd-6_family-1844#Unknown	0	0	0	10.81	20.212	517	113.899
rnd-6_family-1844#Unknown	B4	0	0	0	216.1	16.094	161	58.199
rnd-6_family-2299#Unknown	B4	0	0	0	0	21.217	809	162.286
rnd-6_family-2573#Unknown	X12_DNA	0	0	0	0	26.135	252	195.437
rnd-6_family-3654#LINE/L1	B4	0	0	0	0	26.673	572	227.983
rnd-6_family-439#Simple_repeat	L1MA4	0	0	0	2676.09			
rnd-6_family-4855#Unknown	MTD	0	0	0	248.52	16.695	146	49.541
rnd-6_family-7895#Unknown	rnd-6_family-439#Simple_repeat	0	0	0	0	25.104	2651	92.164
